iter	Passed	Remaining
0	16	48647
1	31	47567
2	46	46488
3	61	46052
4	76	46022
5	92	46017
6	107	45816
7	122	45942
8	138	45967
9	153	45763
10	168	45705
11	183	45796
12	198	45709
13	214	45804
14	229	45721
15	244	45653
16	261	45807
17	277	46038
18	293	46008
19	307	45880
20	323	45885
21	338	45843
22	354	45840
23	369	45759
24	384	45814
25	400	45827
26	417	45938
27	432	45941
28	448	45934
29	463	45892
30	479	45881
31	494	45849
32	509	45787
33	524	45761
34	540	45785
35	556	45783
36	571	45803
37	588	45848
38	615	46694
39	632	46770
40	649	46900
41	667	46981
42	684	47055
43	701	47107
44	718	47187
45	736	47288
46	754	47399
47	772	47493
48	787	47414
49	802	47361
50	817	47260
51	833	47241
52	849	47209
53	864	47165
54	879	47096
55	894	47046
56	910	46992
57	925	46928
58	940	46896
59	955	46807
60	970	46735
61	984	46649
62	1000	46646
63	1015	46594
64	1031	46570
65	1047	46557
66	1062	46500
67	1078	46502
68	1093	46447
69	1108	46394
70	1123	46360
71	1139	46352
72	1155	46339
73	1170	46280
74	1186	46276
75	1201	46227
76	1216	46164
77	1231	46129
78	1248	46154
79	1263	46132
80	1279	46105
81	1294	46080
82	1310	46050
83	1325	46016
84	1341	46013
85	1357	45992
86	1372	45947
87	1387	45925
88	1404	45931
89	1419	45908
90	1434	45863
91	1451	45875
92	1466	45842
93	1481	45791
94	1497	45785
95	1512	45761
96	1528	45751
97	1544	45731
98	1559	45705
99	1575	45690
100	1590	45655
101	1606	45638
102	1622	45623
103	1637	45599
104	1652	45555
105	1666	45509
106	1681	45465
107	1697	45444
108	1711	45404
109	1727	45387
110	1743	45381
111	1758	45355
112	1774	45332
113	1791	45347
114	1806	45314
115	1821	45295
116	1837	45267
117	1853	45262
118	1867	45222
119	1883	45202
120	1898	45181
121	1914	45156
122	1928	45114
123	1944	45103
124	1960	45081
125	1975	45053
126	1990	45028
127	2006	45013
128	2021	44985
129	2037	44979
130	2052	44945
131	2067	44923
132	2082	44898
133	2097	44852
134	2112	44830
135	2127	44800
136	2142	44780
137	2157	44747
138	2174	44750
139	2189	44723
140	2204	44700
141	2220	44685
142	2236	44673
143	2252	44678
144	2267	44648
145	2282	44621
146	2297	44594
147	2312	44570
148	2328	44550
149	2343	44518
150	2357	44481
151	2372	44461
152	2388	44449
153	2403	44425
154	2419	44407
155	2435	44401
156	2450	44376
157	2466	44357
158	2482	44355
159	2496	44318
160	2511	44292
161	2527	44273
162	2543	44264
163	2558	44244
164	2574	44230
165	2589	44203
166	2604	44187
167	2620	44169
168	2635	44146
169	2651	44140
170	2667	44123
171	2686	44174
172	2703	44185
173	2719	44161
174	2736	44168
175	2751	44142
176	2766	44119
177	2781	44098
178	2795	44061
179	2811	44041
180	2825	44012
181	2841	43989
182	2856	43969
183	2870	43937
184	2885	43913
185	2901	43896
186	2916	43879
187	2932	43860
188	2947	43842
189	2963	43825
190	2979	43811
191	2993	43787
192	3010	43785
193	3026	43775
194	3041	43756
195	3058	43748
196	3073	43727
197	3088	43701
198	3103	43679
199	3117	43648
200	3133	43634
201	3148	43611
202	3163	43587
203	3178	43564
204	3193	43547
205	3209	43531
206	3224	43513
207	3240	43500
208	3255	43479
209	3271	43469
210	3287	43447
211	3302	43436
212	3318	43419
213	3334	43406
214	3349	43388
215	3365	43373
216	3380	43355
217	3395	43330
218	3411	43315
219	3426	43295
220	3442	43283
221	3459	43285
222	3474	43267
223	3491	43263
224	3506	43246
225	3522	43234
226	3538	43226
227	3553	43206
228	3569	43189
229	3584	43165
230	3600	43163
231	3616	43149
232	3631	43127
233	3646	43107
234	3662	43094
235	3678	43076
236	3693	43059
237	3709	43043
238	3724	43030
239	3739	43003
240	3755	42995
241	3771	42978
242	3786	42962
243	3802	42944
244	3817	42929
245	3833	42915
246	3849	42902
247	3865	42899
248	3881	42878
249	3896	42864
250	3911	42842
251	3927	42832
252	3942	42809
253	3958	42796
254	3973	42778
255	3989	42762
256	4005	42748
257	4019	42717
258	4034	42700
259	4050	42682
260	4065	42664
261	4080	42642
262	4096	42627
263	4111	42608
264	4126	42592
265	4142	42575
266	4158	42562
267	4172	42537
268	4189	42533
269	4204	42516
270	4220	42501
271	4235	42483
272	4250	42460
273	4266	42450
274	4281	42427
275	4296	42409
276	4311	42384
277	4327	42373
278	4343	42356
279	4358	42342
280	4374	42326
281	4389	42306
282	4404	42290
283	4420	42272
284	4435	42256
285	4450	42233
286	4466	42220
287	4481	42200
288	4497	42186
289	4513	42176
290	4528	42153
291	4543	42135
292	4558	42116
293	4574	42100
294	4589	42084
295	4605	42068
296	4620	42055
297	4635	42029
298	4650	42013
299	4667	42003
300	4683	41992
301	4698	41974
302	4714	41964
303	4728	41937
304	4744	41923
305	4759	41906
306	4775	41891
307	4790	41872
308	4806	41855
309	4821	41837
310	4836	41819
311	4852	41807
312	4870	41810
313	4885	41790
314	4900	41768
315	4915	41754
316	4930	41730
317	4945	41711
318	4961	41696
319	4977	41684
320	4992	41666
321	5008	41654
322	5024	41639
323	5038	41616
324	5054	41602
325	5070	41587
326	5084	41564
327	5100	41551
328	5115	41531
329	5130	41512
330	5146	41496
331	5161	41476
332	5177	41462
333	5193	41457
334	5209	41440
335	5224	41421
336	5238	41397
337	5254	41380
338	5270	41370
339	5286	41358
340	5301	41336
341	5317	41324
342	5332	41306
343	5347	41288
344	5363	41272
345	5377	41250
346	5392	41228
347	5408	41214
348	5423	41194
349	5438	41176
350	5453	41156
351	5470	41149
352	5485	41129
353	5500	41114
354	5515	41092
355	5530	41072
356	5546	41062
357	5561	41040
358	5576	41021
359	5591	41006
360	5606	40987
361	5621	40969
362	5637	40954
363	5652	40933
364	5667	40915
365	5683	40902
366	5699	40888
367	5714	40870
368	5729	40854
369	5744	40834
370	5759	40814
371	5774	40796
372	5790	40782
373	5805	40764
374	5820	40743
375	5835	40723
376	5850	40706
377	5866	40692
378	5882	40680
379	5897	40659
380	5912	40640
381	5927	40621
382	5941	40600
383	5957	40584
384	5972	40567
385	5988	40555
386	6004	40539
387	6020	40527
388	6035	40507
389	6050	40491
390	6065	40470
391	6080	40452
392	6095	40437
393	6110	40419
394	6127	40407
395	6142	40392
396	6158	40382
397	6174	40368
398	6190	40356
399	6206	40342
400	6222	40327
401	6236	40307
402	6252	40289
403	6267	40271
404	6283	40261
405	6298	40241
406	6313	40224
407	6329	40209
408	6344	40192
409	6360	40177
410	6376	40164
411	6391	40146
412	6407	40134
413	6422	40115
414	6437	40097
415	6453	40083
416	6468	40069
417	6483	40051
418	6499	40036
419	6514	40015
420	6530	40002
421	6544	39982
422	6559	39962
423	6574	39945
424	6590	39929
425	6605	39914
426	6621	39897
427	6635	39876
428	6650	39857
429	6665	39838
430	6681	39826
431	6697	39812
432	6713	39798
433	6728	39778
434	6743	39763
435	6759	39749
436	6774	39733
437	6789	39716
438	6805	39699
439	6820	39685
440	6836	39672
441	6851	39654
442	6867	39637
443	6882	39623
444	6898	39610
445	6913	39590
446	6929	39574
447	6944	39558
448	6959	39538
449	6974	39519
450	6989	39502
451	7005	39490
452	7020	39474
453	7036	39461
454	7052	39447
455	7067	39430
456	7082	39411
457	7098	39396
458	7112	39376
459	7128	39359
460	7143	39344
461	7159	39330
462	7175	39315
463	7190	39302
464	7206	39289
465	7222	39272
466	7237	39258
467	7253	39243
468	7267	39222
469	7283	39207
470	7298	39190
471	7315	39180
472	7330	39163
473	7346	39147
474	7361	39132
475	7376	39114
476	7391	39095
477	7406	39079
478	7422	39063
479	7437	39048
480	7453	39034
481	7469	39018
482	7486	39013
483	7502	38999
484	7517	38983
485	7532	38966
486	7547	38946
487	7562	38928
488	7577	38911
489	7592	38894
490	7607	38875
491	7623	38860
492	7641	38858
493	7660	38858
494	7677	38853
495	7695	38848
496	7713	38848
497	7730	38841
498	7748	38836
499	7766	38831
500	7784	38830
501	7802	38828
502	7820	38820
503	7835	38802
504	7850	38788
505	7865	38770
506	7880	38751
507	7896	38735
508	7910	38715
509	7926	38698
510	7942	38687
511	7957	38667
512	7972	38651
513	7987	38633
514	8003	38617
515	8018	38598
516	8033	38582
517	8049	38568
518	8064	38553
519	8080	38538
520	8096	38525
521	8112	38509
522	8127	38492
523	8143	38478
524	8158	38463
525	8173	38445
526	8190	38432
527	8206	38419
528	8221	38402
529	8236	38385
530	8251	38369
531	8267	38352
532	8282	38334
533	8298	38323
534	8314	38308
535	8330	38295
536	8346	38282
537	8362	38268
538	8377	38252
539	8392	38231
540	8407	38216
541	8423	38199
542	8438	38185
543	8453	38166
544	8469	38151
545	8485	38136
546	8499	38116
547	8514	38098
548	8530	38082
549	8545	38066
550	8560	38050
551	8576	38033
552	8590	38014
553	8606	37999
554	8621	37981
555	8636	37964
556	8652	37950
557	8667	37931
558	8683	37916
559	8697	37898
560	8712	37879
561	8727	37861
562	8743	37845
563	8758	37829
564	8773	37809
565	8787	37790
566	8802	37772
567	8818	37757
568	8834	37743
569	8849	37727
570	8865	37711
571	8880	37694
572	8895	37677
573	8910	37661
574	8925	37642
575	8941	37627
576	8957	37613
577	8973	37599
578	8988	37582
579	9003	37564
580	9018	37549
581	9034	37534
582	9049	37516
583	9065	37503
584	9080	37486
585	9095	37470
586	9111	37453
587	9127	37441
588	9143	37428
589	9158	37412
590	9174	37395
591	9189	37380
592	9205	37364
593	9219	37345
594	9234	37326
595	9249	37307
596	9264	37291
597	9279	37274
598	9295	37260
599	9311	37244
600	9326	37227
601	9341	37210
602	9356	37195
603	9372	37178
604	9387	37162
605	9402	37145
606	9418	37129
607	9433	37113
608	9449	37098
609	9464	37083
610	9480	37070
611	9496	37055
612	9512	37041
613	9527	37025
614	9543	37010
615	9559	36994
616	9574	36978
617	9589	36962
618	9605	36946
619	9621	36932
620	9638	36923
621	9653	36906
622	9668	36890
623	9683	36872
624	9699	36857
625	9715	36845
626	9731	36830
627	9746	36813
628	9761	36794
629	9776	36778
630	9791	36762
631	9807	36745
632	9822	36728
633	9837	36712
634	9852	36695
635	9868	36679
636	9883	36664
637	9898	36647
638	9914	36633
639	9929	36616
640	9945	36601
641	9960	36583
642	9976	36568
643	9991	36552
644	10007	36537
645	10022	36522
646	10038	36506
647	10053	36489
648	10068	36474
649	10084	36460
650	10100	36443
651	10114	36426
652	10131	36412
653	10146	36397
654	10162	36382
655	10177	36367
656	10193	36352
657	10209	36337
658	10224	36320
659	10239	36302
660	10254	36286
661	10269	36270
662	10285	36255
663	10300	36237
664	10315	36219
665	10330	36202
666	10346	36188
667	10362	36174
668	10378	36162
669	10394	36147
670	10409	36132
671	10425	36116
672	10440	36101
673	10455	36083
674	10470	36066
675	10485	36047
676	10501	36032
677	10516	36018
678	10531	36000
679	10548	35989
680	10563	35972
681	10578	35954
682	10593	35938
683	10609	35922
684	10624	35906
685	10639	35890
686	10655	35873
687	10670	35858
688	10686	35842
689	10701	35825
690	10716	35811
691	10732	35795
692	10747	35779
693	10762	35762
694	10778	35746
695	10792	35728
696	10807	35711
697	10824	35698
698	10839	35681
699	10854	35665
700	10870	35652
701	10885	35634
702	10900	35616
703	10915	35598
704	10931	35584
705	10946	35569
706	10961	35552
707	10976	35534
708	10991	35517
709	11006	35500
710	11022	35485
711	11037	35467
712	11053	35453
713	11067	35435
714	11082	35418
715	11097	35401
716	11113	35386
717	11128	35370
718	11144	35356
719	11159	35339
720	11174	35322
721	11190	35307
722	11205	35291
723	11220	35274
724	11236	35258
725	11251	35242
726	11266	35225
727	11281	35208
728	11297	35193
729	11313	35179
730	11327	35161
731	11342	35142
732	11357	35125
733	11372	35108
734	11388	35094
735	11404	35081
736	11419	35064
737	11434	35048
738	11450	35033
739	11465	35017
740	11480	35000
741	11496	34985
742	11512	34970
743	11528	34955
744	11543	34941
745	11560	34929
746	11575	34913
747	11591	34898
748	11607	34883
749	11622	34868
750	11637	34850
751	11652	34833
752	11667	34817
753	11683	34802
754	11698	34786
755	11713	34769
756	11729	34753
757	11744	34737
758	11760	34722
759	11776	34708
760	11791	34694
761	11807	34679
762	11822	34661
763	11837	34643
764	11852	34627
765	11867	34611
766	11883	34596
767	11899	34581
768	11913	34564
769	11929	34548
770	11944	34531
771	11959	34515
772	11974	34498
773	11989	34482
774	12004	34465
775	12020	34450
776	12036	34437
777	12052	34421
778	12067	34404
779	12082	34389
780	12098	34375
781	12114	34359
782	12129	34344
783	12145	34330
784	12162	34318
785	12178	34303
786	12193	34286
787	12208	34271
788	12224	34255
789	12238	34237
790	12253	34221
791	12268	34204
792	12284	34187
793	12299	34171
794	12314	34155
795	12329	34139
796	12345	34124
797	12362	34112
798	12377	34097
799	12393	34083
800	12410	34069
801	12425	34053
802	12440	34037
803	12455	34020
804	12470	34004
805	12487	33991
806	12503	33976
807	12518	33961
808	12533	33945
809	12548	33927
810	12565	33915
811	12581	33901
812	12597	33888
813	12612	33871
814	12628	33856
815	12644	33842
816	12660	33828
817	12676	33814
818	12691	33797
819	12706	33781
820	12721	33764
821	12737	33748
822	12752	33731
823	12768	33718
824	12783	33702
825	12798	33685
826	12815	33672
827	12831	33658
828	12846	33642
829	12860	33624
830	12876	33609
831	12892	33594
832	12906	33576
833	12922	33560
834	12937	33545
835	12953	33531
836	12969	33516
837	12984	33499
838	12999	33483
839	13015	33468
840	13030	33451
841	13045	33436
842	13061	33421
843	13076	33404
844	13092	33390
845	13108	33374
846	13123	33359
847	13139	33343
848	13154	33327
849	13170	33314
850	13185	33297
851	13201	33282
852	13217	33267
853	13232	33251
854	13247	33235
855	13264	33222
856	13278	33205
857	13293	33188
858	13309	33172
859	13324	33156
860	13339	33140
861	13355	33124
862	13371	33109
863	13386	33094
864	13402	33079
865	13417	33064
866	13433	33048
867	13447	33030
868	13462	33013
869	13477	32997
870	13493	32982
871	13508	32966
872	13524	32951
873	13540	32936
874	13555	32919
875	13571	32906
876	13587	32892
877	13602	32876
878	13619	32862
879	13635	32848
880	13650	32831
881	13665	32815
882	13680	32799
883	13695	32782
884	13711	32766
885	13725	32750
886	13742	32736
887	13757	32721
888	13773	32706
889	13789	32691
890	13805	32676
891	13819	32659
892	13835	32644
893	13850	32628
894	13867	32616
895	13883	32601
896	13899	32587
897	13914	32569
898	13929	32554
899	13945	32538
900	13960	32523
901	13977	32509
902	13993	32496
903	14008	32480
904	14024	32464
905	14039	32449
906	14054	32433
907	14069	32416
908	14086	32402
909	14101	32386
910	14117	32372
911	14132	32355
912	14147	32339
913	14163	32324
914	14179	32310
915	14195	32295
916	14210	32280
917	14225	32263
918	14241	32248
919	14257	32233
920	14273	32218
921	14288	32203
922	14304	32188
923	14319	32172
924	14335	32157
925	14350	32141
926	14365	32124
927	14381	32111
928	14397	32095
929	14412	32078
930	14427	32063
931	14443	32049
932	14459	32033
933	14474	32017
934	14490	32002
935	14505	31986
936	14520	31969
937	14536	31955
938	14551	31939
939	14567	31923
940	14584	31911
941	14601	31899
942	14616	31883
943	14631	31867
944	14647	31851
945	14662	31835
946	14678	31822
947	14705	31831
948	14724	31822
949	14744	31816
950	14762	31806
951	14780	31796
952	14798	31787
953	14816	31777
954	14835	31769
955	14855	31762
956	14873	31752
957	14888	31735
958	14903	31718
959	14918	31700
